text,label
my album was packed really well it came with a corrugated box and some bubble wrap really excellent packaging the seller is very accommodating as well thank you so much dear seller will definitely order again next time,1
appearance the item is new quality aside from some minor dents it is in good condition suitability exactly as advertised the item arrived in good condition packed in a cardboard box bubble wrap there were dents on the album but it s understandable since the box is kinda thin,1
quality appearance suitability the album arrived in mint condition and early as expected very secured salamat seller manifested talaga nkuha q yung q will order again soon,1
quality appearance suitability expergo albums and lily limited edition has finally arrived the albums look sooo beautiful especially the lily canvas order was packed very safely and securely,1
good quality well packaged item shipped on time sure sure will order again one of the best shops pagbilhan album,1
album arrived safely and was packed securely no missing items from my package and even came with cute freebies from the seller highly recommend this store as they have affordable prices and good range of albums,1
appearance quality suitability thank you seller napauwi nang maaga yung bias iloveyou you kyujin sobrang secured yung packaging freebies very accommodating si seller deserve shop to star i highly recommend this shop po order kayo huhu naway uwian po kyo bias niyo,1
quality big wave suitability great appearance nmixx change up super ganda swerte puro bias dumating and fast delivery two weeks after ready to be dumating agad itong nmixx,1
suitability quality appearance the album was received in mint condition and earlier than expected will order again soon,1
appearance great quality great suitability great the album looks amazing but the photocards are a bit damaged specially the pob because it is like torn but still looks good since its is kind off not noticeable over all it is great since the album was secured because of the packaging,1
appearance quality suitability no issues so far,1
quality appearance the products packaging was great well bubble rapped and naka box but as mentioned it was damaged thanks seller,1
quality very good suitability very good appearance beautiful cute and maganda yung album,1
well packed yung order and very fast shipping and deliveryy definitely will recommend this shop and ill probably order againn,1
appearance good suitability good quality good second order with this shop and received the album in safe packaging will definitely order again thank you,1
appearance quality suitability there was a single dent as expected but they were barely noticeable thankyouu for the haewon pob and sullyoon freebie seller,1
for the first time i pulled my bias bae pob is adorable too thank you so much seller don t forget to stream love me like this,1
thankyou vv secured packaging and tysm for the haewon jyp pob naman bias,1
thank you so much requested for a kyujin portrait and you did appreciate it wish i get a kyujin photocard in this album,1
thank youuu cute talaga freebies as always haha,1
quality damaged appearance canvas ripped bae canva crumpled the picture seller sent to me of damage was not the same as the product the mindent was not compared to what i received it was damaged and unrecoverable i did not ask for a refund but i disappointed with my product i received,0
appearance jinni suitability miss quality you backstabber,1
inuwian po bias aaaaaaaaa,0
